de,eng
wie,How
ich,I
seine,his
dass,that
er,he
war,was
für,for
auf,on
sind,are
mit,with
sie,she
sein,be
bei,at
ein,a
haben,have
dies,this
aus,out of
durch,through
heiß,hot
Wort,Word
aber,but
was,What
einige,some
ist,is
es,it
Sie,She
oder,or
hatte,had
die,the
von,from
zu,to
und,and
ein,a
bei,at
wir,we
können,can
aus,out of
andere,other
waren,were
die,the
tun,do
ihre,her
Zeit,Time
wenn,if
werden,become
wie,How
sagte,said
ein,a
jeder,everyone
sagen,say
tut,does
Satz,Sentence
drei,three
wollen,want
Luft,Air
gut,good
auch,also
spielen,play
klein,small
Ende,End
setzen,set
Zuhause,At home
lesen,read
seits,on the one hand
Hafen,Harbor
groß,large
buchstabieren,spell
hinzufügen,add
auch,also
Lande,Land
hier,here
muss,must
groß,large
hoch,high
so,so
folgen,consequences
Akt,act
warum,Why
fragen,questions
Männer,Men
Veränderung,change
ging,went
Licht,Light
Art,Kind
aus,out of
müssen,must
Haus,House
Bild,Picture
versuchen,attempt
uns,us
wieder,again
Tier,animal
Punkt,Point
Mutter,Mother
Welt,World
in der Nähe von,near
bauen,build
selbst,himself
Erde,Earth
Vater,Father
jeder,everyone
neu,new
Arbeit,Work
Teil,Part
nehmen,take
erhalten,receive
Ort,Location
gemacht,made
leben,life
wo,where
nach,after
zurück,back
wenig,few
nur,only
Runde,round
Mann,Man
Jahr,Year
kam,came
zeigen,show
jeder,everyone
gut,good
mir,me
geben,give
unsere,our
unter,under
Name,Surname
sehr,very
durch,through
nur,only
Formular,Form
Satz,Sentence
groß,large
denken,think
sagen,say
Hilfe,Help
niedrig,low
Linie,line
abweichen,differ
wiederum,in turn
Ursache,Caused
viel,much
bedeuten,mean
vor,before
Umzug,Relocation
Recht,Right
Junge,Boy
alt,old
zu,to
gleich,even
sie,she
alle,all
da,there
wenn,if
nach oben,up
Verwendung,use
Ihre,Her
Weg,Away
über,above
viele,many
dann,then
sie,she
schreiben,write
würde,would
wie,How
so,so
diese,this
sie,she
lange,long
machen,make
Sache,Matter
sehen,see
ihm,him
zwei,two
hat,has
suchen,seek
mehr,more
Tag,Day
könnte,could
gehen,go
kommen,come
tat,did
Anzahl,Number
klingen,sound
nicht,not
am meisten,the most
Menschen,People
meine,mine
über,above
wissen,knowledge
Wasser,Water
als,as
Anruf,Call
erste,first
die,the
können,can
nach unten,downward
Seite,Page
gewesen,been
jetzt,now
finden,find
Kopf,Head
stehen,stand
besitzen,own
Seite,Page
sollte,should
Land,country
gefunden,found
Antwort,Answer
Schule,School
wachsen,grow
Studie,study
noch,still
lernen,learn
Anlage,Attachment
Abdeckung,cover
Lebensmittel,Groceries
Sonne,Sun
vier,four
zwischen,between
Zustand,Condition
halten,hold
Auge,Eye
nie,never
letzte,last
lassen,let
Gedanken,Thoughts
Stadt,City
Baum,Tree
überqueren,cross over
Bauernhof,Farm yard
schwer,difficult
Beginn,Beginnings
Macht,Power
Geschichte,Story
Säge,saw
weit,far
Meer,sea
ziehen,pull
links,Left
spät,late
laufen,run
unterlassen Sie,do not
während,while
Presse,Press
Schließen,Close
Nacht,Night
realen,real
Leben,Life
wenige,few
Norden,north
Buch,Book
tragen,carry
nahm,took
Wissenschaft,Science
essen,eat
Zimmer,Room
Freund,Friend
begann,started
Idee,idea
Fisch,Fish
berg,mountain
Stopp,stop
einmal,once
Basis,Base
hören,hear
Pferd,Horse
Schnitt,cut
sicher,secure
beobachten,observe
Farbe,Color
Gesicht,Face
Holz,Wood
Haupt-,Main-
geöffnet,open
scheinen,seem
zusammen,together
nächste,next
weiß,white
Kinder,Children
Start,begin
bekam,got
gehen,go
Beispiel,Example
erleichtern,facilitate
Papier,Paper
Gruppe,group
immer,always
Musik,Music
diejenigen,those
beide,both
Marke,brand
oft,often
Schreiben,Write
bis,until
Meile,mile
Fluss,Flow
Auto,automobile
Füße,Feet
Pflege,Care
zweite,second
genug,enough
Ebene,level
Mädchen,Girl
üblich,usual
jung,young
bereit,ready
oben,above
je,ever
rot,red
Liste,list
obwohl,although
fühlen,feel
Vortrag,Speech
Vogel,Bird
bald,soon
Körper,Body
Hund,Dog
Familie,Family
direkt,direct
Pose,pose
verlassen,leave
Lied,song
messen,measure
Tür,door
Produkt,product
schwarz,black
kurz,short
Zahl,Number
Klasse,Class
Wind,wind
Frage,Ask
passieren,happen
vollständig,complete
Schiff,Ship
Bereich,Area
Hälfte,half
Stein,Stone
bestellen,order
Feuer,Fire
Süden,south
Problem,problem
Stück,Piece
sagte,said
wusste,knew
passieren,happen
seit,since
obere,upper
ganze,whole
König,king
Straße,Street
Zoll,Customs
multiplizieren,multiply
nichts,nothing
Kurs,course
bleiben,remain
Rad,wheel
voll,full
Kraft,Power
blau,blue
Objekt,object
entscheiden,decide
Oberfläche,surface
tief,deep
Mond,moon
Insel,Island
Fuß,Foot
System,system
beschäftigt,busy
Prüfung,Test
Rekord,record
Boot,boat
gemeinsam,together
goldenen,golden
möglich,possible
Flugzeug,Airplane
statt,instead of
trocken,dry
Wunder,Wonder
Lachen,Laugh
tausend,thousand
vor,before
lief,ran
überprüfen,check
Spiel,Game
Form,shape
gleichsetzen,equate
heiß,hot
Fehl,Misconception
gebracht,brought
Wärme,warmth
Schnee,Snow
Reifen,Tires
bringen,bring
ja,Yes
entfernt,removed
füllen,to fill
Osten,east
malen,to paint
Sprache,Language
unter,under
Einheit,Unit
Macht,Power
Stadt,City
fein,fine
sicher,secure
fliegen,fly
fallen,fall
führen,lead
Schrei,Scream
dunkel,dark
Maschine,machine
note,grade
warten,wait
Plan,plan
Abbildung,Illustration
Stern,star
Kasten,Crate
Nomen,noun
Feld,Field
Rest,rest
richtig,correct
fähig,capable
Pfund,Pound
getan,did
Schönheit,beauty
Antriebs,Drive
stand,was standing
enthalten,contain
Front,front
lehren,to teach
Woche,Week
Finale,final
gab,gave
grün,green
oh,Oh
schnell,fast
entwickeln,develop
Ozean,ocean
warme,warmth
kostenlos,for free
Minute,minute
stark,strong
besondere,special
Geist,Spirit
hinter,behind
klar,clear
Schwanz,tail
produzieren,to produce
Tatsache,fact
Raum,Space
gehört,heard
beste,best
Stunde,Hour
besser,better
wahr,true
während,while
hundert,hundred
fünf,five
merken,notice
Schritt,Step
früh,early
halten,hold
Westen,west
Boden,Floor
Interesse,interest
erreichen,to reach
schnell,fast
Verbum,verb
singen,to sing
hören,hear
sechs,six
Tabelle,Table
Reise,Trip
weniger,fewer
Morgen,Morning
zehn,ten
einfach,simply
mehrere,several
Vokal,Vocal
auf,on
Krieg,War
legen,place
gegen,against
Muster,Pattern
schleppend,sluggish
Zentrum,center
Liebe,Love
Person,person
Geld,Money
dienen,serve
erscheinen,appear
Straße,Street
Karte,Map
regen,rain
Regel,Rule
regieren,govern
ziehen,pull
Kälte,cold
Hinweis,Notice
Stimme,Agree