de,tr
wie,Nasıl
ich,BEN
seine,onun
dass,O
er,O
war,olmuş
für,için
auf,Açık
sind,var olan
mit,ile
sie,o
sein,olmak
bei,-den
ein,A
haben,sahip olmak
dies,Bu
aus,dışında
durch,başından sonuna kadar
heiß,sıcak
Wort,Kelime
aber,Ancak
was,Ne
einige,bazı
ist,dır-dir
es,BT
Sie,O
oder,veya
hatte,vardı
die,.
von,itibaren
zu,ile
und,Ve
ein,A
bei,-den
wir,Biz
können,olabilmek
aus,dışında
andere,diğer
waren,vardı
die,.
tun,Yapmak
ihre,o
Zeit,Zaman
wenn,eğer
werden,haline gelmek
wie,Nasıl
sagte,söz konusu
ein,A
jeder,herkes
sagen,söylemek
tut,yapmak
Satz,Cümle
drei,üç
wollen,istek
Luft,Hava
gut,iyi
auch,Ayrıca
spielen,oynamak
klein,küçük
Ende,Son
setzen,ayarlamak
Zuhause,Evde
lesen,Okumak
seits,bir taraftan
Hafen,Liman
groß,büyük
buchstabieren,hecelemek
hinzufügen,eklemek
auch,Ayrıca
Lande,Kara
hier,Burada
muss,mutlak
groß,büyük
hoch,yüksek
so,Bu yüzden
folgen,sonuçlar
Akt,davranmak
warum,Neden
fragen,soru
Männer,Erkekler
Veränderung,değiştirmek
ging,gitmiş
Licht,Işık
Art,Tür
aus,dışında
müssen,mutlak
Haus,Ev
Bild,Resim
versuchen,girişim
uns,biz
wieder,Tekrar
Tier,hayvan
Punkt,Nokta
Mutter,Anne
Welt,Dünya
in der Nähe von,yakın
bauen,inşa etmek
selbst,kendisi
Erde,Toprak
Vater,Baba
jeder,herkes
neu,yeni
Arbeit,İş
Teil,Parça
nehmen,almak
erhalten,almak
Ort,Konum
gemacht,yapılmış
leben,hayat
wo,Neresi
nach,sonrasında
zurück,geri
wenig,bir kaç
nur,sadece
Runde,yuvarlak
Mann,Adam
Jahr,Yıl
kam,gelmek
zeigen,göstermek
jeder,herkes
gut,iyi
mir,Ben
geben,vermek
unsere,bizim
unter,altında
Name,Soyadı
sehr,çok
durch,başından sonuna kadar
nur,sadece
Formular,Biçim
Satz,Cümle
groß,büyük
denken,düşünmek
sagen,söylemek
Hilfe,Yardım
niedrig,Düşük
Linie,astar
abweichen,farklılık
wiederum,sırayla
Ursache,Neden oldu
viel,fazla
bedeuten,Anlam
vor,önce
Umzug,Yer değiştirme
Recht,Sağ
Junge,Erkek çocuk
alt,eskimiş
zu,ile
gleich,eşit
sie,o
alle,Tümü
da,Orası
wenn,eğer
nach oben,yukarı
Verwendung,kullanmak
Ihre,O
Weg,Uzak
über,üstünde
viele,birçok
dann,Daha sonra
sie,o
schreiben,yazmak
würde,istemek
wie,Nasıl
so,Bu yüzden
diese,Bu
sie,o
lange,uzun
machen,yapmak
Sache,Konu
sehen,Görmek
ihm,o
zwei,iki
hat,sahip olmak
suchen,aramak
mehr,Daha
Tag,Gün
könnte,abilir
gehen,Gitmek
kommen,Gelmek
tat,yaptı
Anzahl,Sayı
klingen,ses
nicht,Olumsuz
am meisten,en çok
Menschen,İnsanlar
meine,bana ait
über,üstünde
wissen,bilgi
Wasser,su
als,gibi
Anruf,Arama
erste,Birinci
die,.
können,olabilmek
nach unten,aşağı doğru
Seite,Sayfa
gewesen,olmuştur
jetzt,Şimdi
finden,bulmak
Kopf,KAFA
stehen,durmak
besitzen,sahip olmak
Seite,Sayfa
sollte,meli
Land,ülke
gefunden,kurmak
Antwort,Cevap
Schule,Okul
wachsen,büyümek
Studie,çalışmak
noch,Hala
lernen,öğrenmek
Anlage,EK
Abdeckung,kapak
Lebensmittel,Bakkaliye
Sonne,Güneş
vier,dört
zwischen,arasında
Zustand,Durum
halten,tutmak
Auge,Göz
nie,Asla
letzte,son
lassen,izin vermek
Gedanken,Düşünceler
Stadt,Şehir
Baum,Ağaç
überqueren,karşıdan karşıya geçmek
Bauernhof,Çiftlik avlusu
schwer,zor
Beginn,Başlangıç
Macht,Güç
Geschichte,Hikaye
Säge,testere
weit,uzak
Meer,deniz
ziehen,çekmek
links,Sol
spät,geç
laufen,koşmak
unterlassen Sie,yapamaz
während,sırasında
Presse,Basmak
Schließen,Kapalı
Nacht,Gece
realen,gerçek
Leben,Hayat
wenige,bir kaç
Norden,kuzey
Buch,Kitap
tragen,taşımak
nahm,alınmış
Wissenschaft,Bilim
essen,yemek yemek
Zimmer,Oda
Freund,Arkadaş
begann,başlayan
Idee,fikir
Fisch,Balık
berg,dağ
Stopp,durmak
einmal,bir kere
Basis,Temel
hören,duymak
Pferd,Atış
Schnitt,kesmek
sicher,güvenli
beobachten,gözlemlemek
Farbe,Renk
Gesicht,Yüz
Holz,Odun
Haupt-,Ana-
geöffnet,açık
scheinen,gözükmek
zusammen,birlikte
nächste,Sonraki
weiß,beyaz
Kinder,Çocuklar
Start,başlamak
bekam,var
gehen,Gitmek
Beispiel,Örnek
erleichtern,kolaylaştırmak
Papier,Kağıt
Gruppe,grup
immer,Her zaman
Musik,Müzik
diejenigen,onlar
beide,ikisi birden
Marke,marka
oft,sıklıkla
Schreiben,Yazmak
bis,değin
Meile,mil
Fluss,Akış
Auto,otomobil
Füße,Ayak
Pflege,Bakım
zweite,ikinci
genug,yeterli
Ebene,seviyesi
Mädchen,Kız
üblich,olağan
jung,genç
bereit,hazır
oben,üstünde
je,durmadan
rot,kırmızı
Liste,liste
obwohl,rağmen
fühlen,hissetmek
Vortrag,Konuşma
Vogel,Kuş
bald,yakında
Körper,Vücut
Hund,Köpek
Familie,Aile
direkt,yönlendirmek
Pose,poz
verlassen,ayrılmak
Lied,şarkı
messen,ölçüm
Tür,kapı
Produkt,ürün
schwarz,siyah
kurz,kısa
Zahl,Sayı
Klasse,Sınıf
Wind,rüzgâr
Frage,Sormak
passieren,olmak
vollständig,tamamlamak
Schiff,Gemi
Bereich,Alan
Hälfte,yarım
Stein,Taş
bestellen,emir
Feuer,Ateş
Süden,güney
Problem,sorun
Stück,Parça
sagte,söz konusu
wusste,bilen
passieren,olmak
seit,o zamandan beri
obere,üst
ganze,tüm
König,kral
Straße,Sokak
Zoll,Gümrük
multiplizieren,çarpmak
nichts,Hiçbir şey
Kurs,kurs
bleiben,geriye kalmak
Rad,teker
voll,tam dolu
Kraft,Güç
blau,mavi
Objekt,nesne
entscheiden,karar vermek
Oberfläche,yüzey
tief,derin
Mond,ay
Insel,Ada
Fuß,Ayak
System,sistem
beschäftigt,Meşgul
Prüfung,Ölçek
Rekord,kayıt
Boot,bot
gemeinsam,birlikte
goldenen,altın
möglich,olası
Flugzeug,Uçak
statt,yerine
trocken,kuru
Wunder,Merak etmek
Lachen,Gülmek
tausend,bin
vor,önce
lief,koştu
überprüfen,kontrol etmek
Spiel,Oyun
Form,şekil
gleichsetzen,kıyaslanmak
heiß,sıcak
Fehl,Yanlış kanı
gebracht,getirilmiş
Wärme,sıcaklık
Schnee,Kar
Reifen,Lastikler
bringen,getirmek
ja,Evet
entfernt,kaldırıldı
füllen,doldurmak
Osten,doğu
malen,boyamak için
Sprache,Dil
unter,altında
Einheit,Birim
Macht,Güç
Stadt,Şehir
fein,iyi
sicher,güvenli
fliegen,uçmak
fallen,düşmek
führen,yol göstermek
Schrei,Bağırmak
dunkel,karanlık
Maschine,makine
note,seviye
warten,Beklemek
Plan,plan
Abbildung,Gösterim
Stern,yıldız
Kasten,Sandık
Nomen,isim
Feld,Alan
Rest,dinlenmek
richtig,doğru
fähig,yetenekli
Pfund,Pound
getan,yaptı
Schönheit,güzellik
Antriebs,Sürmek
stand,duruyordu
enthalten,içermek
Front,ön
lehren,öğretmek
Woche,Hafta
Finale,son
gab,verilmiş
grün,yeşil
oh,Ah
schnell,hızlı
entwickeln,geliştirmek
Ozean,okyanus
warme,sıcaklık
kostenlos,ücretsiz
Minute,dakika
stark,güçlü
besondere,özel
Geist,Ruh
hinter,arka
klar,temizlemek
Schwanz,kuyruk
produzieren,üretmek için
Tatsache,hakikat
Raum,Uzay
gehört,duyulmuş
beste,en iyi
Stunde,Saat
besser,daha iyi
wahr,doğru
während,sırasında
hundert,yüz
fünf,beş
merken,fark etme
Schritt,Adım
früh,erken
halten,tutmak
Westen,Batı
Boden,Zemin
Interesse,faiz
erreichen,ulaşmak için
schnell,hızlı
Verbum,fiil
singen,şarkı söylemek
hören,duymak
sechs,altı
Tabelle,Masa
Reise,Seyahat
weniger,daha az
Morgen,Sabah
zehn,on
einfach,basitçe
mehrere,birçok
Vokal,Vokal
auf,Açık
Krieg,Savaş
legen,yer
gegen,aykırı
Muster,Model
schleppend,halsiz
Zentrum,merkez
Liebe,Aşk
Person,kişi
Geld,Para
dienen,sert
erscheinen,belli olmak
Straße,Sokak
Karte,Harita
regen,yağmur
Regel,Kural
regieren,yönetme
ziehen,çekmek
Kälte,soğuk
Hinweis,Fark etme
Stimme,Kabul etmek