eng,fr
the,le
and,et
have,avoir
that,que
for,pour
you,toi
with,avec
say,dire
this,ce
they,ils
but,mais
his,son
from,depuis
not,pas
she,elle
as,comme
what,quoi
their,leur
can,peut
who,OMS
get,obtenir
would,serait
her,son
all,tous
make,faire
about,à propos
know,savoir
will,volonté
one,un
time,temps
there,là
year,année
think,pense
when,quand
which,lequel
them,eux
some,quelques
people,personnes
take,prendre
out,dehors
into,dans
just,juste
see,voir
him,lui
your,ton
come,viens
could,pourrait
now,maintenant
than,que
like,comme
other,autre
how,comment
then,alors
its,c'est
our,notre
two,deux
more,plus
these,ces
want,vouloir
way,chemin
look,regarder
first,d'abord
also,aussi
new,nouveau
because,parce que
day,jour
use,utiliser
man,homme
find,trouver
here,ici
thing,chose
give,donner
many,beaucoup
well,Bien
only,seulement
those,ceux
tell,dire
very,très
even,même
back,dos
any,n'importe lequel
good,bien
woman,femme
through,à travers
life,vie
child,enfant
work,travail
down,vers le bas
may,peut
after,après
should,devrait
call,appel
world,monde
over,sur
school,école
still,toujours
try,essayer
last,dernier
ask,demander
need,besoin
too,aussi
feel,sentir
three,trois
state,État
never,jamais
become,devenir
between,entre
high,haut
really,vraiment
something,quelque chose
most,la plupart
another,un autre
much,beaucoup
family,famille
own,propre
leave,partir
put,mettre
old,vieux
while,alors que
mean,signifier
keep,garder
student,étudiant
why,pourquoi
let,laisser
great,super
same,même
big,grand
group,groupe
begin,commencer
seem,sembler
country,pays
help,aide
talk,parler
where,où
turn,tourner
problem,problème
every,chaque
start,commencer
hand,main
might,pourrait
American,Américain
show,montrer
part,partie
against,contre
place,lieu
such,tel
again,encore
few,peu
case,cas
week,semaine
company,entreprise
system,système
each,chaque
right,droite
program,programme
hear,entendre
question,question
during,pendant
play,jouer
government,gouvernement
run,courir
small,petit
number,nombre
off,désactivé
always,toujours
move,se déplacer
night,nuit
live,en direct
Mr,M
point,indiquer
believe,croire
hold,prise
today,aujourd'hui
bring,apporter
happen,arriver
next,suivant
without,sans
before,avant
large,grand
million,million
must,doit
home,maison
under,sous
water,eau
room,chambre
write,écrire
mother,mère
area,zone
national,national
money,argent
story,histoire
young,jeune
fact,fait
month,mois
different,différent
lot,parcelle
study,étude
book,livre
eye,œil
job,emploi
word,mot
though,cependant
business,entreprise
issue,problème
side,côté
kind,gentil
four,quatre
head,tête
far,loin
black,noir
long,long
both,les deux
little,petit
house,maison
yes,Oui
since,depuis
provide,fournir
service,service
around,autour
friend,ami
important,important
father,père
sit,s'asseoir
away,loin
until,jusqu'à
power,pouvoir
hour,heure
game,jeu
often,souvent
yet,encore
line,doubler
political,politique
end,fin
among,parmi
ever,jamais
stand,rester
bad,mauvais
lose,perdre
however,cependant
member,membre
pay,payer
law,loi
meet,rencontrer
car,voiture
city,ville
almost,presque
include,inclure
continue,continuer
set,ensemble
later,plus tard