fr,tr
comme,gibi
je,BEN
son,o
que,O
il,O
était,olmuş
pour,İçin
sur,Açık
sont,var olan
avec,ile
ils,Onlar
être,olmak
à,sahip olmak
un,A
avoir,sahip olmak
ce,Bu
à partir de,itibaren
par,ile
chaud,sıcak
mot,kelime
mais,Ancak
que,O
certains,bazı
est,Doğu
il,O
vous,SEN
ou,Veya
eu,AB
la,Orası
de,ile ilgili
à,sahip olmak
et,Ve
un,A
dans,İçinde
nous,Biz
boîte,kutu
dehors,dışarı
autre,diğer
étaient,vardı
qui,DSÖ
faire,YAPMAK
leur,onların
temps,zaman
si,eğer
volonté,irade
comment,Nasıl
dit,söz konusu
un,A
chaque,her biri
dire,söylemek
ne,doğmak
ensemble,birlikte
trois,üç
vouloir,istemek
air,hava
bien,İYİ
aussi,Ayrıca
jouer,oynamak
petit,biraz
fin,SON
mettre,koymak
maison,Ev
lire,Okumak
main,el
port,liman
grand,büyük
épeler,hecelemek
ajouter,eklemek
même,eşit
terre,toprak
ici,Burada
il faut,bu gerekli
grand,büyük
haut,yüksek
tel,çok
suivre,takip etmek
acte,davranmak
pourquoi,Neden
interroger,soru
hommes,erkekler
changement,değiştirmek
est allé,gitmiş
lumière,ışık
genre,cinsiyet
de,ile ilgili
besoin,ihtiyaç
maison,Ev
image,resim
essayer,denemek
nous,Biz
encore,Tekrar
animal,hayvan
point,nokta
mère,anne
monde,dünya
près de,yanında
construire,inşa etmek
soi,kendi kendine
terre,toprak
père,baba
tout,Tüm
nouveau,yeni
travail,iş
partie,parça
prendre,almak
obtenir,elde etmek
lieu,yer
fabriqué,yapılmış
vivre,canlı
où,Veya
après,Sonrasında
arrière,geri
peu,biraz
seulement,sadece
tour,yuvarlak
homme,Adam
année,yıl
est venu,gelmek
montrer,göstermek için
tous,Tümü
bon,İyi
moi,Ben
donner,vermek
notre,BİZİM
sous,altında
nom,isim
très,çok
par,ile
juste,Sadece
forme,şekil
phrase,cümle
grand,büyük
penser,düşünmek
dire,söylemek
aider,yardım
faible,zayıf
ligne,astar
différer,farklı olmak
tour,yuvarlak
la cause,neden
beaucoup,çok fazla
signifier,Anlam
avant,Önce
déménagement,hareketli
droit,Sağ
garçon,erkek çocuk
vieux,eskimiş
trop,çok fazla
même,eşit
elle,O
tous,Tümü
là,Orası
quand,Ne zaman
jusqu’à,değin
utiliser,kullanmak
votre,senin
manière,biçim
sur,Açık
beaucoup,çok fazla
puis,Daha sonra
les,.
écrire,yazmak
voudrais,istemek
comme,gibi
si,eğer
ces,bunlar
son,o
long,uzun
faire,YAPMAK
chose,şey
voir,Görmek
lui,o
deux,iki
a,sahip olmak
regarder,Bakmak
plus,Daha
jour,gün
pourrait,abilir
aller,Gitmek
venir,Gelmek
fait,Yapmak
nombre,sayı
son,o
aucun,hiçbiri
plus,Daha
personnes,insanlar
ma,Benim
sur,Açık
savoir,Bilmek
eau,su
que,O
appel,Arama
première,Birinci
qui,DSÖ
peut,olabilmek
vers le bas,aşağı
côté,taraf
été,yaz
maintenant,ŞİMDİ
trouver,bulmak
tête,KAFA
supporter,Destek
propre,sahip olmak
page,sayfa
devrait,meli
pays,ülke
trouvé,bulmak
réponse,cevap
école,okul
croître,büyümek
étude,çalışmak
encore,Tekrar
apprendre,öğrenmek
usine,fabrika
couvercle,kapak
nourriture,yiyecek
soleil,güneş
quatre,dört
entre,arasında
état,durum
garder,kale
œil,göz
jamais,Asla
dernier,son
laisser,ayrılmak 
pensée,düşünce
ville,şehir
arbre,AĞAÇ
traverser,"Geçmek, aşmak"
ferme,çiftlik
dur,zor
début,başlangıç
puissance,güç
histoire,tarih
scie,testere
loin,uzak
mer,deniz
tirer,çekmek
gauche,SOL
tard,geç
courir,koşmak
needs a context,Bir bağlama ihtiyaç duyar
tandis que,sırasında
presse,basmak
proche,kapalı
nuit,gece
réel,gerçek
vie,hayat
peu,biraz
nord,kuzey