tr,de
ve,Und
bir,Eins
olmak,zu sein
bu,Das 
için,für  
etmek,machen
o,Er
ile,mit
çok,Eine Menge
daha,mehr
gibi,wie
yapmak,machen
en,-am meisten
ben,ICH
ne,Was
var,Es gibt
sonra,später
her,jede
kadar,viel
kendi,eigen
ama,Aber
yıl,Jahr
insan,Person
almak,nehmen  
ise,wohingegen
ki,Das
içinde,innen
Türkiye,Türkiye
gelmek,kommen
biz,Wir
zaman,Zeit
iş,arbeiten
iki,zwei
değil,nicht
büyük,groß
gün,Tag
demek,bedeutet
arasında,zwischen
yeni,neu
ilk,Erste
önce,Vor
vermek,geben
konu,Thema
son,Ende
iyi,Gut
yok,NEIN
göre,entsprechend
veya,oder 
ancak,Jedoch
şey,Ding
taraf,Seite
dünya,Welt
başkan,Minister
diye,Sprichwort
tüm,alle
aynı,Dasselbe
önemli,wichtig
karşı,Gegenteil
ilgili,in Zusammenhang mit
siz,Du
gerekmek,erfordern
orta,Mitte
yer almak,teilnehmen an
sadece,Nur
hem,beide
şekilde,Im weg
diğer,andere
devam etmek,weitermachen
sahip,Eigentümer
durum,Situation
Türk,Türkisch
geçmek,vorbeigehen
bile,sogar    
kişi,Person
hiç,keiner
nasıl,Wie
genel,allgemein
tek,nur
fazla,mehr
ön,Vorderseite
birlikte,zusammen
böyle,so was
başka,Ein anderer
bütün,alle
devlet,Zustand
bulmak,finden
çünkü,Weil
yani,Also
sen,Du
güzel,Schön
yol,Weg
eğitim,Ausbildung
an,Moment
bin,tausend
şu,Das
neden,Wovon
hâl,Status
biri,jemand
bazı,manche
tarih,Geschichte
ülke,Land
doğru,WAHR
yine,wieder
artık,Jetzt
belediye,Rat
çıkmak,verlassen
özel,besonders
üzerine,über
bugün,Heute
İstanbul,Istanbul
farklı,anders
söylemek,sagen
bura,Hier
ad,Name
Allah,Allah
bilgi,Information
üzerinde,An
çocuk,Kind
ayrıca,Darüber hinaus
tam,voll
uzun,LANG
üç,Fliege
üzere,sowie
ifade / ifade etmek,Express / Express
kabul / kabul etmek,akzeptieren / akzeptieren
özellikle,besonders
yüksek,hoch
bakmak,sehen 
az,wenig
şimdi,Jetzt
sonuç,Abschluss
belirtmek,um anzuzeigen
çalışmak,arbeiten
istemek,wollen
dönem,Zeitraum
halk,Menschen
yerine,an seinem Platz
ay,Mond
başlamak,anfangen
yüzde,Prozentsatz
karar,Entscheidung
hiçbir,NEIN
eğer,Wenn
fakat,Aber
el,Hand
Avrupa,Europa
söz,versprechen
parti,Party
hakında,um
sayı,Nummer
merkez,Center
eski,alt
biraz,Ein wenig
hemen,sofort
küçük,Klein
kadın,Frau
kez,mal
yönetim,Management
ardından,nächste
su,Das
uygun,geeignet
sosyal,Sozial
zaten,bereits
birçok,Eine Menge
pek,viel
herkes,alle
ABD,USA
üye,Mitglied
rağmen,trotz
altında,unter
hatta,sogar
aslında,Eigentlich
sağlık,Gesundheit
kısa,kurz
örnek,Beispiel
öyle,so wie das
üniversite,Universität
şöyle,So was
alan,Bereich
geri,zurück
sorun,Problem
saat,Stunde
bulunmak,haben
süre,Dauer
açmak,offen
yeniden,wieder  
milyon,Million
hizmet,Service
il,Provinz
hep,stets
hak,Rechts
dikkat,Aufmerksamkeit
sistem,System
belki,Vielleicht
grup,Gruppe
gerek,notwendig
nedeniyle,wegen
yakın,schließen
takım,Satz
Millî,National
içeri,innen
bağlı,in Verbindung gebracht
gerçek,real
mümkün,möglich
yardımcı,Helfer
tekrar,wieder
Ankara,Ankara
oyun,Spiel
para,Geld
kurul,Planke
hafta,Woche
hayat,Leben
yan,Seite
Dr.,DR.
toplum,Gesellschaft
dışında,draußen
dolayı,Weil
okul,Schule
destek,Unterstützung
elde etmek,erhalten
çeşitli,verschieden
temel,Basis
proje,Projekt
genç,Jugend
hangi,Welche
zor,schwierig
yönelik,für
çalışma,Studie
Ali,Ali
güç,Stärke
belli,klar
ekonomik,wirtschaftlich
savaş,Krieg
ait,Zugehörigkeit
yaklaşık,etwa
gerçekten,Wirklich
oldukça,zunehmend
herhangi,beliebig
kötü,schlecht
sürekli,ständig
siyasi,politisch
sonunda,Endlich
Mehmet,Mehmet
yalnız,allein
birkaç,ein paar 
ayrı,separate
haber,Nachricht
bölge,Bereich
ana,Mutter
yanında,