tr,eng
ve,And
bir,One
olmak,to be
bu,This 
için,for  
etmek,to do
o,he
ile,with
çok,A lot
daha,more
gibi,like
yapmak,to do
en,-most
ben,I
ne,What
var,there is
sonra,later
her,each
kadar,much
kendi,own
ama,But
yıl,year
insan,person 
almak,to take  
ise,whereas
ki,that
içinde,inside
Türkiye,Türkiye
gelmek,to come
biz,We
zaman,time
iş,work
iki,two
değil,not
büyük,big
gün,day
demek,means
arasında,between
yeni,new
ilk,first
önce,before
vermek,to give
konu,Subject
son,end
iyi,Good
yok,no
göre,according to
veya,or 
ancak,however
şey,thing
taraf,side
dünya,World
başkan,minister
diye,saying
tüm,all
aynı,same
önemli,important
karşı,opposite
ilgili,relating to
siz,you
gerekmek,require
orta,middle
yer almak,take part in
sadece,Only
hem,both
şekilde,in the way
diğer,other
devam etmek,to continue
sahip,owner
durum,situation
Türk,Turkish
geçmek,to go past
bile,even    
kişi,person
hiç,none
nasıl,How
genel,general
tek,only
fazla,more
ön,front
birlikte,together
böyle,like this
başka,Another
bütün,all
devlet,state
bulmak,to find
çünkü,Because
yani,well
sen,you
güzel,Beautiful
yol,path
eğitim,education
an,moment
bin,thousand
şu,This
neden,From where
hâl,status
biri,someone
bazı,some
tarih,history
ülke,country
doğru,TRUE
yine,again
artık,Now
belediye,council
çıkmak,to leave
özel,special
üzerine,over
bugün,Today
İstanbul,Istanbul
farklı,different
söylemek,to say
bura,here
ad,name
Allah,Allah
bilgi,information
üzerinde,on
çocuk,child
ayrıca,Moreover
tam,full
uzun,LONG
üç,fly
üzere,as well as
ifade / ifade etmek,express / express
kabul / kabul etmek,accept / accept
özellikle,especially
yüksek,high
bakmak,to look 
az,little
şimdi,Now
sonuç,conclusion
belirtmek,to indicate
çalışmak,to work
istemek,to want
dönem,period
halk,people
yerine,in its place
ay,moon
başlamak,to start
yüzde,percentage
karar,decision
hiçbir,no
eğer,if
fakat,but
el,hand
Avrupa,Europe
söz,promise
parti,party
hakında,about
sayı,number
merkez,centre
eski,old
biraz,A little
hemen,immediately
küçük,Small
kadın,Woman
kez,times
yönetim,management
ardından,next
su,This
uygun,suitable
sosyal,social
zaten,already
birçok,A lot
pek,much
herkes,everyone
ABD,USA
üye,member
rağmen,despite
altında,under
hatta,even
aslında,Actually
sağlık,health
kısa,short
örnek,example
öyle,like that
üniversite,university
şöyle,Like this
alan,area
geri,back
sorun,problem
saat,hour
bulunmak,have
süre,duration
açmak,open
yeniden,again  
milyon,million
hizmet,service
il,province
hep,always
hak,right
dikkat,attention
sistem,system
belki,maybe
grup,group
gerek,necessary
nedeniyle,because of
yakın,close
takım,set
Millî,National
içeri,inside
bağlı,connected
gerçek,real
mümkün,possible
yardımcı,helper
tekrar,again
Ankara,Ankara
oyun,game
para,money
kurul,board
hafta,week
hayat,life
yan,side
Dr.,Dr.
toplum,society
dışında,outside
dolayı,because
okul,school
destek,support
elde etmek,to obtain
çeşitli,various
temel,basis
proje,project
genç,youth
hangi,Which
zor,difficult
yönelik,for
çalışma,study
Ali,Ali
güç,strength
belli,clear
ekonomik,economic
savaş,war
ait,belonging
yaklaşık,approximately
gerçekten,Really
oldukça,increasingly
herhangi,any
kötü,bad
sürekli,continually
siyasi,political
sonunda,finally
Mehmet,Mehmet
yalnız,alone
birkaç,a few 
ayrı,separate
haber,news
bölge,area
ana,mother
yanında,next to you